epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,7436.04,1.04907,0.88148,0.00331,0.85674,0.73127,0.81474,0.67094,0.79863,0.72868,0.00379,0.000995866,0.000995866,0.000995866
124,7490.58,1.01439,0.86557,0.00328,0.8383,0.73928,0.80866,0.66748,0.78276,0.74622,0.0037,0.000990365,0.000990365,0.000990365
125,7545.36,1.02783,0.8645,0.00323,0.85409,0.72644,0.80616,0.66315,0.78992,0.76708,0.00375,0.000984864,0.000984864,0.000984864
126,7600.87,1.04443,0.88794,0.00327,0.84223,0.7398,0.81409,0.67963,0.74352,0.74681,0.00347,0.000979362,0.000979362,0.000979362
127,7655.88,1.04382,0.88137,0.00336,0.846,0.72261,0.81501,0.67506,0.76085,0.73773,0.00357,0.000973861,0.000973861,0.000973861
128,7709.35,0.98638,0.84918,0.00303,0.8476,0.73245,0.81597,0.6797,0.75216,0.73271,0.00359,0.00096836,0.00096836,0.00096836
129,7764.54,1.00836,0.86689,0.00331,0.83537,0.7338,0.80923,0.66727,0.77457,0.75722,0.00365,0.000962859,0.000962859,0.000962859
130,7819.77,1.00549,0.8669,0.00322,0.8319,0.7382,0.80719,0.66462,0.76823,0.75771,0.00365,0.000957358,0.000957358,0.000957358
131,7874.51,1.0168,0.87979,0.00331,0.84053,0.73029,0.81037,0.66466,0.78695,0.75546,0.00369,0.000951857,0.000951857,0.000951857
132,7929.66,1.01549,0.86391,0.00316,0.84278,0.72987,0.81234,0.66708,0.78972,0.73836,0.00369,0.000946356,0.000946356,0.000946356
133,7984.78,1.01771,0.87302,0.00333,0.84438,0.74104,0.81603,0.66932,0.79589,0.72653,0.0039,0.000940855,0.000940855,0.000940855
134,8039.23,0.98939,0.84844,0.00322,0.85242,0.7404,0.81266,0.66638,0.7974,0.73941,0.00376,0.000935354,0.000935354,0.000935354
135,8095.41,1.01991,0.87958,0.00335,0.83679,0.7385,0.81669,0.6762,0.78094,0.73285,0.00363,0.000929853,0.000929853,0.000929853
136,8150.21,0.99541,0.85667,0.00314,0.84204,0.72799,0.80993,0.66936,0.77776,0.71738,0.00368,0.000924352,0.000924352,0.000924352
137,8205.18,0.99926,0.86821,0.0033,0.84529,0.73147,0.81294,0.67177,0.76554,0.71856,0.00356,0.00091885,0.00091885,0.00091885
138,8260.48,1.01556,0.8657,0.00319,0.86058,0.72706,0.81433,0.66736,0.78912,0.73745,0.00373,0.000913349,0.000913349,0.000913349
139,8315.18,1.00212,0.85569,0.00317,0.84449,0.74097,0.81552,0.67197,0.80027,0.72519,0.00377,0.000907848,0.000907848,0.000907848
140,8369.87,1.02282,0.8676,0.00323,0.87796,0.71531,0.81398,0.67548,0.76429,0.72462,0.00353,0.000902347,0.000902347,0.000902347
141,8425.56,1.05327,0.89534,0.00334,0.85082,0.73506,0.81556,0.67303,0.77684,0.71702,0.00354,0.000896846,0.000896846,0.000896846
142,8480.55,1.04779,0.87034,0.00316,0.86218,0.72034,0.81459,0.66947,0.78465,0.71984,0.00365,0.000891345,0.000891345,0.000891345
143,8535.51,1.02942,0.86849,0.00339,0.84881,0.73031,0.81622,0.67135,0.79029,0.73768,0.0037,0.000885844,0.000885844,0.000885844
144,8592.01,1.01267,0.8635,0.00329,0.84638,0.73137,0.81732,0.67566,0.7723,0.72382,0.00356,0.000880343,0.000880343,0.000880343
145,8646.21,0.97145,0.83656,0.00306,0.84923,0.73161,0.81312,0.67257,0.77981,0.71406,0.00372,0.000874842,0.000874842,0.000874842
146,8701.19,1.02217,0.87068,0.00334,0.84591,0.72654,0.81416,0.67323,0.78177,0.71762,0.00365,0.00086934,0.00086934,0.00086934
147,8756.93,1.04228,0.88268,0.0034,0.85701,0.72772,0.8146,0.66927,0.79875,0.70436,0.00364,0.000863839,0.000863839,0.000863839
148,8810.49,1.02053,0.86677,0.00331,0.86497,0.7291,0.81429,0.66516,0.78718,0.72725,0.00369,0.000858338,0.000858338,0.000858338
149,8865.88,1.01203,0.86624,0.00323,0.84953,0.7383,0.81674,0.67294,0.79757,0.70477,0.00376,0.000852837,0.000852837,0.000852837
150,8921.09,1.00882,0.85517,0.00321,0.85978,0.73203,0.814,0.67101,0.78216,0.70235,0.00364,0.000847336,0.000847336,0.000847336
151,8975.84,1.00469,0.84859,0.00312,0.83773,0.74371,0.8154,0.67686,0.75562,0.72301,0.00356,0.000841835,0.000841835,0.000841835
152,9029.94,0.97085,0.84559,0.00314,0.83978,0.73394,0.81407,0.67545,0.78205,0.70847,0.00373,0.000836334,0.000836334,0.000836334
153,9084.09,0.99432,0.84761,0.00317,0.84605,0.73236,0.81745,0.67658,0.77444,0.73172,0.00362,0.000830833,0.000830833,0.000830833
154,9139.02,1.00632,0.82905,0.00313,0.85235,0.73628,0.8208,0.68003,0.77218,0.71486,0.00354,0.000825332,0.000825332,0.000825332
155,9194.73,0.99037,0.85878,0.0032,0.84253,0.73963,0.81781,0.68007,0.76349,0.72457,0.00355,0.000819831,0.000819831,0.000819831
156,9250.32,1.0049,0.84577,0.0031,0.84511,0.73997,0.81527,0.67175,0.79185,0.71443,0.00386,0.000814329,0.000814329,0.000814329
